10000000
Uniform random distribution,1,13561,13562,13568,13535,13564,13661,13574,13594,13554,13597
Uniform random distribution,2,12002,11989,11976,11985,11987,12033,12006,12009,12014,12028
Uniform random distribution,3,11162,11160,11226,11313,11177,11166,11252,11209,11152,11174
Uniform random distribution,4,8008,8023,8046,8011,7978,8066,8050,8013,8060,7983
Common value distribution,1,18819,18807,18791,18766,18990,18913,18912,18930,20842,19686
Common value distribution,2,17901,17132,17285,16878,16951,18004,17040,16582,16805,16521
Common value distribution,3,15482,15529,15463,15316,15420,15426,15438,15515,15407,15422
Common value distribution,4,11090,11140,11065,11065,11095,11056,11102,11059,11060,11127
All zeros,1,116,75,75,77,75,74,76,80,82,76
All zeros,2,85,82,81,84,70,82,84,83,88,76
All zeros,3,97,101,99,102,100,101,98,103,98,100
All zeros,4,98,95,97,94,94,94,96,95,93,93
All max int,1,14393,14393,14347,14420,14402,14441,14422,14413,14429,14395
All max int,2,14548,14408,14433,14507,14441,14461,14427,14474,14744,15853
All max int,3,14775,14575,14429,14609,14678,14709,14613,14785,14694,14831
All max int,4,14765,14864,14603,14580,14555,14459,14956,15031,15267,14444
Monotomically increasing,1,10557,10550,10568,11304,11437,10939,10933,10966,10835,10541
Monotomically increasing,2,5984,5897,5878,5887,5882,6225,6618,6199,6110,6135
Monotomically increasing,3,5643,5502,5433,5397,5410,5446,5411,5409,5404,5454
Monotomically increasing,4,7623,8819,6280,6563,6272,6777,6929,6601,7482,6928
