10000000
Uniform random distribution,1,5974,5962,5984,6118,6669,6168,6047,6180,6099,5918
Uniform random distribution,2,5326,7050,5378,5457,5325,5503,5511,5417,5110,5223
Uniform random distribution,3,5021,5059,4957,4807,5303,4734,4874,4969,4839,4852
Uniform random distribution,4,3528,3331,3471,3898,3707,4162,3643,4084,3678,3441
Common value distribution,1,8575,10266,9301,8483,8842,8518,8546,8531,9112,9225
Common value distribution,2,7998,7738,8002,7593,7461,7446,8122,8226,8234,7717
Common value distribution,3,7540,6832,6800,7008,7609,7845,7564,7561,7763,7401
Common value distribution,4,5329,4871,4975,4814,5687,6000,5732,5419,5578,5775
All zeros,1,208,118,113,89,79,78,79,84,82,82
All zeros,2,81,80,85,81,83,98,92,118,133,130
All zeros,3,216,167,107,109,107,113,114,118,109,186
All zeros,4,160,98,104,102,103,102,97,98,101,103
All max int,1,2264,2228,2328,2476,2249,2258,2240,2447,2293,2587
All max int,2,2357,2296,2453,2497,2302,2462,2462,2574,2553,2365
All max int,3,2468,2449,2346,2363,2351,2432,2415,2378,2334,2350
All max int,4,2513,2388,2476,2389,2383,2407,2334,2390,2339,2413
Monotomically increasing,1,3308,3456,3527,3247,3334,3362,3438,3272,3311,3319
Monotomically increasing,2,1773,1776,1761,1747,1737,1899,1948,2009,1945,2211
Monotomically increasing,3,1925,2060,1887,1809,1690,1729,1630,1682,1824,1727
Monotomically increasing,4,2288,1844,1872,2020,1986,2041,2165,2074,2084,1965
